Country	Role Group	Name	Email
United Kingdom	Parliament	Andrew Gwynne	gwynnea@parliament.uk
United Kingdom	Parliament	Amanda Hack	amanda.hack.mp@parliament.uk
United Kingdom	Parliament	Louise Haigh	louise.haigh.mp@parliament.uk
United Kingdom	Parliament	Sarah Hall	sarah.hall.mp@parliament.uk
United Kingdom	Parliament	Fabian Hamilton	fabian.hamilton.mp@parliament.uk
United Kingdom	Parliament	Paulette Hamilton	paulette.hamilton.mp@parliament.uk
United Kingdom	Parliament	Claire Hanna	claire.hanna.mp@parliament.uk
United Kingdom	Parliament	Monica Harding	monica.harding.mp@parliament.uk
United Kingdom	Parliament	Emma Hardy	emma.hardy.mp@parliament.uk
United Kingdom	Parliament	Carolyn Harris	carolyn.harris.mp@parliament.uk
United Kingdom	Parliament	Rebecca Harris	rebecca.harris.mp@parliament.uk
United Kingdom	Parliament	Lloyd Hatton	lloyd.hatton.mp@parliament.uk
United Kingdom	Parliament	Helen Hayes	helen.hayes.mp@parliament.uk
United Kingdom	Parliament	Sir John Hayes	hayesj@parliament.uk
United Kingdom	Parliament	Tom Hayes	tom.hayes.mp@parliament.uk
United Kingdom	Parliament	Claire Hazelgrove	claire.hazelgrove.mp@parliament.uk
United Kingdom	Parliament	Chris Hazzard	chris.hazzard.mp@parliament.uk
United Kingdom	Parliament	John Healey	john.healey.mp@parliament.uk
United Kingdom	Parliament	Sir Mark Hendrick	mark.hendrick.mp@parliament.uk
United Kingdom	Parliament	Pippa Heylings	pippa.heylings.mp@parliament.uk
United Kingdom	Parliament	Dame Meg Hillier	meghilliermp@parliament.uk
United Kingdom	Parliament	Chris Hinchliff	chris.hinchliff.mp@parliament.uk
United Kingdom	Parliament	Jonathan Hinder	jonathan.hinder.mp@parliament.uk
United Kingdom	Parliament	Damian Hinds	damian.hinds.mp@parliament.uk
United Kingdom	Parliament	Simon Hoare	simon.hoare.mp@parliament.uk
United Kingdom	Parliament	Wera Hobhouse	wera.hobhouse.mp@parliament.uk
United Kingdom	Parliament	Mrs Sharon Hodgson	sharon.hodgson.mp@parliament.uk
United Kingdom	Parliament	Mr Richard Holden	richard.holden.mp@parliament.uk
United Kingdom	Parliament	Kevin Hollinrake	kevin.hollinrake.mp@parliament.uk
United Kingdom	Parliament	Paul Holmes	paul.holmes.mp@parliament.uk
United Kingdom	Parliament	Rachel Hopkins	rachel.hopkins.mp@parliament.uk
United Kingdom	Parliament	Sir Lindsay Hoyle	lindsay.hoyle.mp@parliament.uk
United Kingdom	Parliament	Nigel Huddleston	nigel.huddleston.mp@parliament.uk
United Kingdom	Parliament	Dr Neil Hudson	neil.hudson.mp@parliament.uk
United Kingdom	Parliament	Claire Hughes	claire.hughes.mp@parliament.uk
United Kingdom	Parliament	Dáire Hughes	daire.hughes.mp@parliament.uk
United Kingdom	Parliament	Alison Hume	alison.hume.mp@parliament.uk
United Kingdom	Parliament	Sir Jeremy Hunt	huntj@parliament.uk
United Kingdom	Parliament	Dr Rupa Huq	rupa.huq.mp@parliament.uk
United Kingdom	Parliament	Patrick Hurley	patrick.hurley.mp@parliament.uk
United Kingdom	Parliament	Imran Hussain	imran.hussain.mp@parliament.uk
United Kingdom	Parliament	Mr Adnan Hussain	adnan.hussain.mp@parliament.uk
United Kingdom	Parliament	Leigh Ingham	leigh.ingham.mp@parliament.uk
United Kingdom	Parliament	Natasha Irons	natasha.irons.mp@parliament.uk
United Kingdom	Parliament	Sally Jameson	sally.jameson.mp@parliament.uk
United Kingdom	Parliament	Christine Jardine	christine.jardine.mp@parliament.uk
United Kingdom	Parliament	Dan Jarvis	dan.jarvis.mp@parliament.uk
United Kingdom	Parliament	Liz Jarvis	liz.jarvis.mp@parliament.uk
United Kingdom	Parliament	Sir Bernard Jenkin	bernard.jenkin.mp@parliament.uk
United Kingdom	Parliament	Robert Jenrick	robert.jenrick.mp@parliament.uk
United Kingdom	Parliament	Terry Jermy	terry.jermy.mp@parliament.uk
United Kingdom	Parliament	Adam Jogee	adam.jogee.mp@parliament.uk
United Kingdom	Parliament	Dame Diana Johnson	johnsond@parliament.uk
United Kingdom	Parliament	Dr Caroline Johnson	caroline.johnson.mp@parliament.uk
United Kingdom	Parliament	Kim Johnson	kim.johnson.mp@parliament.uk
United Kingdom	Parliament	Clive Jones	clive.jones.mp@parliament.uk
United Kingdom	Parliament	Darren Jones	darren.jones.mp@parliament.uk
United Kingdom	Parliament	Gerald Jones	gerald.jones.mp@parliament.uk
United Kingdom	Parliament	Lillian Jones	lillian.jones.mp@parliament.uk
United Kingdom	Parliament	Ruth Jones	ruth.jones.mp@parliament.uk
United Kingdom	Parliament	Sarah Jones	sarah.jones.mp@parliament.uk
United Kingdom	Parliament	Lincoln Jopp	lincoln.jopp.mp@parliament.uk
United Kingdom	Parliament	Gurinder Singh Josan	gurinder.josan.mp@parliament.uk
United Kingdom	Parliament	Sojan Joseph	sojan.joseph.mp@parliament.uk
United Kingdom	Parliament	Warinder Juss	warinder.juss.mp@parliament.uk
United Kingdom	Parliament	Chris Kane	chris.kane.mp@parliament.uk
United Kingdom	Parliament	Mike Kane	mike.kane.mp@parliament.uk
United Kingdom	Parliament	Satvir Kaur	satvir.kaur.mp@parliament.uk
United Kingdom	Parliament	Alicia Kearns	alicia.kearns.mp@parliament.uk
United Kingdom	Parliament	Liz Kendall	liz.kendall.mp@parliament.uk
United Kingdom	Parliament	Afzal Khan	afzal.khan.mp@parliament.uk
United Kingdom	Parliament	Ayoub Khan	ayoub.khan.mp@parliament.uk
United Kingdom	Parliament	Naushabah Khan	naushabah.khan.mp@parliament.uk
United Kingdom	Parliament	Stephen Kinnock	stephen.kinnock.mp@parliament.uk
United Kingdom	Parliament	Jayne Kirkham	jayne.kirkham.mp@parliament.uk
United Kingdom	Parliament	Gen Kitchen	gen.kitchen.mp@parliament.uk
United Kingdom	Parliament	Mr Paul Kohler	paul.kohler.mp@parliament.uk
United Kingdom	Parliament	Danny Kruger	0
United Kingdom	Parliament	Sonia Kumar	sonia.kumar.mp@parliament.uk
United Kingdom	Parliament	Uma Kumaran	uma.kumaran.mp@parliament.uk
United Kingdom	Parliament	Peter Kyle	peter.kyle.mp@parliament.uk
United Kingdom	Parliament	Laura Kyrke-Smith	laura.kyrkesmith.mp@parliament.uk
United Kingdom	Parliament	Ben Lake	ben.lake.mp@parliament.uk
United Kingdom	Parliament	Katie Lam	katie.lam.mp@parliament.uk
United Kingdom	Parliament	Peter Lamb	peter.lamb.mp@parliament.uk
United Kingdom	Parliament	Mr David Lammy	david.lammy.mp@parliament.uk 
United Kingdom	Parliament	John Lamont	john.lamont.mp@parliament.uk
United Kingdom	Parliament	Ian Lavery	ian.lavery.mp@parliament.uk
United Kingdom	Parliament	Chris Law	chris.law.mp@parliament.uk
United Kingdom	Parliament	Noah Law	noah.law.mp@parliament.uk
United Kingdom	Parliament	Kim Leadbeater	kim.leadbeater.mp@parliament.uk
United Kingdom	Parliament	Graham Leadbitter	graham.leadbitter.mp@parliament.uk
United Kingdom	Parliament	Sir Edward Leigh	edward.leigh.mp@parliament.uk
United Kingdom	Parliament	Brian Leishman	brian.leishman.mp@parliament.uk
United Kingdom	Parliament	Emma Lewell	emma.lewell.mp@parliament.uk
United Kingdom	Parliament	Andrew Lewin	andrew.lewin.mp@parliament.uk
United Kingdom	Parliament	Clive Lewis	clive.lewis.mp@parliament.uk
United Kingdom	Parliament	Sir Julian Lewis	0
United Kingdom	Parliament	Simon Lightwood	simon.lightwood.mp@parliament.uk
United Kingdom	Parliament	Carla Lockhart	carla.lockhart.mp@parliament.uk
United Kingdom	Parliament	Seamus Logan	seamus.logan.mp@parliament.uk
United Kingdom	Parliament	Rebecca Long Bailey	rebecca.longbailey.mp@parliament.uk
